ostan,x,y,markaz
اردبيل,-195,255,اردبيل
اصفهان,-61,50,اصفهان
البرز,-103,154,کرج
ايلام,-236,45,ايلام
آذربايجان شرقي,-242,235,تبریز
آذربايجان غربي,-298,214,ارومیه
بوشهر,-81,-129,بوشهر
تهران,-83,140,تهران
چهارمحال وبختياري,-111,2,شهرکرد
خراسان جنوبي,147,39,بیرجند
خراسان رضوي,167,139,مشهد
خراسان شمالي,107,215,بجنورد
خوزستان,-170,-21,اهواز
زنجان,-187,179,زنجان
سمنان,22,136,سمنان
سيستان وبلوچستان,248,-170,زاهدان
فارس,-24,-118,شیراز
قزوين,-137,167,قزوين
قم,-94,105,قم
كردستان,-229,145,سنندج
کرمان,103,-71,کرمان
كرمانشاه,-245,96,کرمانشاه
كهگيلويه وبويراحمد,-106,-53,یاسوج
گلستان,36,204,گرگان
گيلان,-154,207,رشت
لرستان,-187,56,خرم آباد
مازندران,-51,169,ساری
مركزي,-143,94,اراک
هرمزگان,85,-170,بندرعباس
همدان,-179,110,همدان
يزد,20,2,يزد
